date,tenor_days,strike,option_type,iv
2024-06-14,30,81.35,put,0.24
2024-06-14,30,85.87,put,0.22
2024-06-14,30,90.39,call,0.20
2024-06-14,30,94.91,call,0.19
2024-06-14,30,99.43,call,0.18
2024-06-14,90,81.35,put,0.23
2024-06-14,90,85.87,put,0.21
2024-06-14,90,90.39,call,0.20
2024-06-14,90,94.91,call,0.19
2024-06-14,90,99.43,call,0.18

2024-06-28,30,81.35,put,0.27
2024-06-28,30,85.87,put,0.25
2024-06-28,30,90.39,call,0.22
2024-06-28,30,94.91,call,0.21
2024-06-28,30,99.43,call,0.20
2024-06-28,90,81.35,put,0.26
2024-06-28,90,85.87,put,0.24
2024-06-28,90,90.39,call,0.22
2024-06-28,90,94.91,call,0.21
2024-06-28,90,99.43,call,0.20

2024-07-05,30,81.35,put,0.30
2024-07-05,30,85.87,put,0.27
2024-07-05,30,90.39,call,0.24
2024-07-05,30,94.91,call,0.23
2024-07-05,30,99.43,call,0.22
2024-07-05,90,81.35,put,0.28
2024-07-05,90,85.87,put,0.26
2024-07-05,90,90.39,call,0.24
2024-07-05,90,94.91,call,0.23
2024-07-05,90,99.43,call,0.22

2024-07-15,30,81.35,put,0.31
2024-07-15,30,85.87,put,0.28
2024-07-15,30,90.39,call,0.25
2024-07-15,30,94.91,call,0.24
2024-07-15,30,99.43,call,0.23
2024-07-15,90,81.35,put,0.29
2024-07-15,90,85.87,put,0.27
2024-07-15,90,90.39,call,0.24
2024-07-15,90,94.91,call,0.23
2024-07-15,90,99.43,call,0.22
